line_id,trial_id,colony_strength,BF1,BF2,BF3,BF4,bf1_amounts_ml,bf2_amounts_ml,bf3_amounts_ml,bf4_amounts_ml,collection_1_date,collection_2_date,collection_3_date,collection_4_date,collection_1_output,collection_2_output,collection_3_output,collection_4_output,time_between_bf_hrs,blood_input_ml,egg_output_total,location,efficiency,eggs_per_hour
LAO AMP 22.3.1,22.3.1,"139,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,485000,520000,560000,375000,48,2400,1940000,22C,808.3333333333334,40416.666666666664
LAO AMP 22.3.2,22.3.2,"139,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,365000,600000,665000,555000,48,2400,2185000,22C,910.4166666666666,45520.833333333336
LAO BRO 22.3.1,22.3.1,"102,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,430000,475000,565000,320000,48,2400,1790000,22C,745.8333333333334,37291.666666666664
LAO BRO 22.3.2,22.3.2,"102,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,520000,372000,430000,345000,48,2400,1667000,22C,694.5833333333334,34729.166666666664
LAO BRO 22.3.3,22.3.3,"102,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,490000,510000,485000,325000,48,2400,1810000,22C,754.1666666666666,37708.333333333336
LAO BRO 22.3.4,22.3.4,"102,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,255000,420000,310000,205000,48,2400,1190000,22C,495.8333333333333,24791.666666666668
TML BRO 16.7.1,16.7.1,"128,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,815000,705000,655000,380000,48,2400,2555000,27A,1064.5833333333333,53229.166666666664
TML BRO 16.7.2,16.7.2,"128,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,800000,605000,570000,280000,48,2400,2255000,27A,939.5833333333334,46979.166666666664
TML BRO 16.7.3,16.7.3,"128,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,615000,885000,785000,435000,48,2400,2720000,27B,1133.3333333333333,56666.666666666664
TML BRO 16.7.4,16.7.4,"128,000","24-11-2025
25-11-2025","27-11-2025
28-11-2025","01-12-2025
02-12-2025","05-12-2025
06-12-2025",600,600,600,600,2025-11-26,2025-11-28,2025-12-02,2025-12-05,985000,580000,835000,320000,48,2400,2720000,27B,1133.3333333333333,56666.666666666664
LAO BRO 22.4.1,22.4.1,"134,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,525000,610000,250000,350000,48,3600,1735000,14D,481.94444444444446,36145.833333333336
LAO BRO 22.4.2,22.4.2,"134,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,700000,655000,257000,335000,48,3600,1947000,14E,540.8333333333334,40562.5
LAO BRO 22.4.3,22.4.3,"134,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,505000,685000,445000,500000,48,3600,2135000,14E,593.0555555555555,44479.166666666664
LAO BRO 22.4.4,22.4.4,"134,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,665000,740000,330000,520000,48,3600,2255000,18C,626.3888888888889,46979.166666666664
LAO BRO 22.4.5,22.4.5,"134,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,695000,675000,295000,465000,48,3600,2130000,18C,591.6666666666666,44375.0
TML BRO 16.8.1,16.8.1,"149,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,980000,925000,360000,335000,48,3600,2600000,18C,722.2222222222222,54166.666666666664
TML BRO 16.8.2,16.8.2,"149,000","01-12-2025
02-12-2025 ","04-12-2025
05-12-2025","08-12-2025
09-12-2025","12-12-2025
13-12-2025",900,900,900,900,2025-12-03,2025-12-05,2025-12-08,2025-12-12,940000,750000,207000,520000,48,3600,2417000,18C,671.3888888888889,50354.166666666664
