line_id,trial_id,colony_strength ,BF1,BF2,BF3,BF4,bf1_amounts_ml,bf2_amounts_ml,bf3_amounts_ml,bf4_amounts_ml,collection_1_date,collection_2_date,collection_3_date,collection_4_date,collection_1_output,collection_2_output,collection_3_output,collection_4_output,time_between_bf_hrs,blood_input_ml,egg_output_total,location,humidity_pct,temperature_c
LAO BRO 20.2.1,20.2.1,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"230,500","415,000","202,000","218,000",48,"2,400","1,065,500",22C,75,27
LAO BRO 20.2.2,20.2.2,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"273,000","302,000","187,000","393,000",48,"2,400","1,155,000",22C,75,27
LAO BRO 20.2.3,20.2.3,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"680,000","520,000","367,000","350,000",48,"2,400","1,917,000",22A,75,27
LAO BRO 20.2.4,20.2.4,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"238,000","390,000","295,000","213,000",48,"2,400","1,136,000",18B,75,27
LAO BRO 20.2.5,20.2.5,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"610,000","550,000","390,000","200,000",48,"2,400","1,750,000",18B,75,27
LAO BRO 20.2.6,20.2.6,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"680,000","530,000","318,000","103,000",48,"2,400","1,631,000",16B,75,27
TML AMP 15.1.1,15.1.1,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"285,000","462,000","142,000","222,000",48,"2,400","1,111,000",27A,75,27
TML AMP 15.1.2,15.1.2,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"370,000","194,000","419,000","271,000",48,"2,400","1,254,000",27A,75,27
TML BRO 15.1.1,15.1.1,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",520,520,520,520,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"545,000","335,000","296,000","400,000",48,"2,080","1,576,000",27B,75,27
TML BRO 15.1.2,15.1.2,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",520,520,520,520,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"349,000","330,000","262,000","297,000",48,"2,080","1,238,000",27B,75,27
TML BRO 15.1.3,15.1.3,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",520,520,520,520,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"235,000","316,000","215,000","198,000",48,"2,080","964,000",27B,75,27
TML BRO 15.1.4,15.1.4,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"600,000","356,000","323,000","185,000",48,"2,400","1,464,000",20A,75,27
TML BRO 15.1.5,15.1.5,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,03-09-2025,05-09-2025,09-09-2025,12-09-2025,"555,000","394,000","184,000","307,000",48,"2,400","1,440,000",20A,75,27
LAO BRO 20.3.1,20.3.1,"80,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",520,520,520,520,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"274,000","309,000","194,000","236,000",48,"2,080","1,013,000",18B,75,27
LAO BRO 20.3.2,20.3.2,"80,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",520,520,520,520,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"176,000","308,000","280,000","182,000",48,"2,080","946,000",18C,75,27
LAO BRO 20.3.3,20.3.3,"120,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",600,600,600,600,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"91,000","361,000","275,000","85,000",48,"2,400","812,000",18C,75,27
LAO BRO 20.3.4,20.3.4,"120,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",600,600,600,600,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"390,000","387,000","320,000","360,000",48,"2,400","1,457,000",18C,75,27
LAO BRO 20.3.5,20.3.5,"120,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",600,600,600,600,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"164,000","292,000","268,000","195,000",48,"2,400","919,000",18C,75,27
LAO BRO 20.3.6,20.3.6,"120,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",600,600,600,600,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"305,000","387,000","455,000","405,000",48,"2,400","1,552,000",18C,75,27
TML AMP 15.2.1,15.2.1,"120,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",600,600,600,600,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"100,000","53,000","59,500","118,000",48,"2,400","330,500",16B,75,27
TML AMP 15.2.2,15.2.2,"120,000","08-09-2025
09-09-2025","11-09-2025
12-09-2025","15-09-2025
16-09-2025","18-09-2025
19-09-2025",600,600,600,600,10-09-2025,12-09-2025,16-09-2025,19-09-2025,"85,000","132,000","103,000","136,000",48,"2,400","456,000",22A,75,27
